36,IiALhE0hg5JTYtTgMSbiLw,Spice Street,"['indpak', 'seafood']",2,0,19,4.0,8242 Georgia Ave,Silver Spring,MD
37,-ny2KfkxF0yUKE8ZB4CpIQ,Diya Indian Cuisine,['indpak'],1,0,133,4.5,218 N Lee St,Alexandria,VA
38,cXJCK35CyFNagZX0_vLL8A,NaanWise,['indpak'],1,2,50,4.5,2635 Connecticut Ave NW,"Washington, DC",DC
39,vNlPKsF3marM5JkYCb3UTQ,Virraaj,['indpak'],1,0,24,4.5,4914 Cordell Ave,Bethesda,MD
40,mg64AGmhdHQ468A0YYrrbQ,Heritage India,['indpak'],1,2,282,3.5,3238 Wisconsin Ave NW,"Washington, DC",DC
41,Dfo2e7HkCdq_PxzkZs2kYA,Raaga Tandoor,"['indpak', 'bars', 'seafood']",3,0,74,5.0,6030 Burke Commons Rd,Burke,VA
42,mCbWqDS41gzUJn_wrQ1sOQ,Namaste,['indpak'],1,2,362,4.5,2510 Conway Rd,Gambrills,MD
43,oiQsBpU3yEkvgCOEH3p8Pg,Haandi Indian Cuisine,"['indpak', 'buffets']",2,2,438,4.0,1222 W Broad St,Falls Church,VA
44,B2SZbOHYE5bPkWooA6z_qg,Indochen,"['chinese', 'indpak', 'himalayan']",3,0,37,4.5,4906 Brenman Park Dr,Alexandria,VA
45,APColJVZ2FRLJhBWQaxE_Q,The Bombay Club,['indpak'],1,3,708,3.5,815 Connecticut Ave NW,"Washington, DC",DC
46,W4NNUcovctcKDM7tfEvr5w,Bollywood Bistro,['indpak'],1,2,686,4.0,3955 Chain Bridge Rd,Fairfax,VA
47,g4Py2QdLGl7CsX7UlxL14Q,Indish Exotic Indian Restaurant & Bar,"['indpak', 'bars']",2,2,125,4.5,15908 A Crain Hwy,Brandywine,MD
48,XbLm1FG8MSv7AD0_xl3_2Q,Namaste Jalsa,"['indpak', 'himalayan']",2,2,245,4.0,1504 King St,Alexandria,VA
49,Dm5rBRLfIrh2j0VHTdZVlw,Curry Place Indian Cuisine,"['indpak', 'himalayan']",2,2,67,4.5,11229 New Hampshire Ave,Silver Spring,MD
0,IvWIICceHhyt0TSQ7wADLg,SPICE KRAFT Indian Bistro,"['indpak', 'desserts', 'vegan']",3,2,138,4.5,2607 Mount Vernon Ave,Alexandria,VA
1,o-2xm1bLixEOFMnWPj9KPQ,Cafe of India,['indpak'],1,2,213,4.0,4909 Wisconsin Ave NW,"Washington, DC",DC
2,3_6iqAAM2UYGsjKLP6fSoQ,Naan and beyond,"['indpak', 'desserts']",2,1,289,3.0,1025 Vermont Ave,"Washington, DC",DC
3,LYNYfugdfoYFk54uNdUSLQ,Bindaas,['indpak'],1,2,207,3.5,3309 Connecticut Ave NW,"Washington, DC",DC
4,4uemwCEBaB-d_EM_f1Tn-w,Commonwealth Indian Restaurant,"['indpak', 'cocktailbars']",2,0,133,4.5,11610 Old Georgetown Rd,Rockville,MD
5,1Svpu_H-pVuqHP1jODazfg,Dishes Of India,['indpak'],1,2,365,4.0,1510A Belle View Blvd,Alexandria,VA
6,w0yP_jI8XMp0oHu2Qsg6kg,Amma Vegetarian Kitchen,"['vegetarian', 'indpak']",2,1,298,3.5,344 Maple Ave E,Vienna,VA
7,B0pOX_jGkU1u5U2T4ekUkg,Masala Art,['indpak'],1,2,253,3.5,1101 4th St SW,"Washington, DC",DC
8,-pol65idvzmk4yE2_YaDow,Maya Cuisine Restauraunt & Bar,"['indpak', 'himalayan', 'seafood']",3,0,10,5.0,7345-A Wisconsin Ave,Bethesda,MD
9,Mk6zKU9fnzvSVKgQm8vSxg,Masala Art,['indpak'],1,2,333,3.5,4441 Wisconsin Ave NW,"Washington, DC",DC
10,nFCmXU-z_s5Ci_f6_990Zw,Saffron Indian Cuisine,['indpak'],1,2,270,4.0,1077 W Broad St,Falls Church,VA
11,PqkkiuN2h-U-c27MtXW_vw,Gharer Khabar,"['indpak', 'bangladeshi']",2,1,154,3.5,5157 Lee Hwy,Arlington,VA
12,pUebWe0x48uWL37D_Ql8Pw,Flavors of India,['indpak'],1,2,365,3.5,2524 L St NW,"Washington, DC",DC
13,lDgYC-Dpp1OlFkSWbuGxZA,Spice 6 Modern Indian,['indpak'],1,2,551,4.5,2674 Avenir Pl,Dunn Lorring,VA
14,9WfQ9pS8hcytMrfewmg5Gg,City Kabob & Curry House- Arlington,"['indpak', 'halal', 'pakistani']",3,2,214,4.0,3007 Columbia Pike,Arlington,VA
15,IODBdzVg_mrll8np6gAtIw,Ghar- E- Kabab,"['indpak', 'himalayan', 'vegetarian']",3,2,306,3.5,944 Wayne Ave,Silver Spring,MD
16,p0X1JZn9ye3t4Ty0gKK5dg,Aatish On The Hill,"['indpak', 'pakistani']",2,2,225,3.0,609 Pennsylvania Ave SE,"Washington, DC",DC
17,CCiRP4aDMoqMKuqZ4HH-Yw,Red Chillies,['indpak'],1,2,297,4.0,1341 University E,Takoma Park,MD
